,Year,Average Total Employment,county,state
5410,2014,3038,Norton County,KS
5411,2015,2949.666667,Norton County,KS
5412,2010,3286,Ottawa County,KS
5413,2011,3270.5,Ottawa County,KS
5414,2012,3219.583333,Ottawa County,KS
5415,2013,3237.75,Ottawa County,KS
5416,2014,3240.666667,Ottawa County,KS
5417,2015,3229.416667,Ottawa County,KS
5418,2010,3608,Pawnee County,KS
5419,2011,3481.416667,Pawnee County,KS
5420,2012,3420.75,Pawnee County,KS
5421,2013,3413.833333,Pawnee County,KS
5422,2014,3389.083333,Pawnee County,KS
5423,2015,3306.916667,Pawnee County,KS
5424,2010,30933.83333,Saline County,KS
5425,2011,30761.58333,Saline County,KS
5426,2012,30707.33333,Saline County,KS
5427,2013,31098,Saline County,KS
5428,2014,30680.16667,Saline County,KS
5429,2015,30872.75,Saline County,KS
5430,2010,10793.75,Seward County,KS
5431,2011,10820.25,Seward County,KS
5432,2012,10827.58333,Seward County,KS
5433,2013,11081.25,Seward County,KS
5434,2014,11153.25,Seward County,KS
5435,2015,10622.75,Seward County,KS
5436,2010,11957.58333,Sumner County,KS
5437,2011,11572.5,Sumner County,KS
5438,2012,11297.58333,Sumner County,KS
5439,2013,11143.83333,Sumner County,KS
5440,2014,11064.58333,Sumner County,KS
5441,2015,11078.91667,Sumner County,KS
5442,2010,4542.333333,Thomas County,KS
5443,2011,4599.75,Thomas County,KS
5444,2012,4542.166667,Thomas County,KS
5445,2013,4465,Thomas County,KS
5446,2014,4378,Thomas County,KS
5447,2015,4415.333333,Thomas County,KS
5448,2010,4499.75,Wilson County,KS
5449,2011,4269.833333,Wilson County,KS
5450,2012,4188.166667,Wilson County,KS
5451,2013,4109.583333,Wilson County,KS
5452,2014,4168.333333,Wilson County,KS
5453,2015,4007.916667,Wilson County,KS
5454,2010,7222.166667,Bourbon County,KS
5455,2011,6876.666667,Bourbon County,KS
5456,2012,6714.916667,Bourbon County,KS
5457,2013,6868.416667,Bourbon County,KS
5458,2014,7093.5,Bourbon County,KS
5459,2015,7118.5,Bourbon County,KS
5460,2010,1457.083333,Decatur County,KS
5461,2011,1415.666667,Decatur County,KS
5462,2012,1401.083333,Decatur County,KS
5463,2013,1360.333333,Decatur County,KS
5464,2014,1352.666667,Decatur County,KS
5465,2015,1350.833333,Decatur County,KS
5466,2010,64378.58333,Douglas County,KS
5467,2011,63746.66667,Douglas County,KS
5468,2012,63495.91667,Douglas County,KS
5469,2013,63535.58333,Douglas County,KS
5470,2014,64633.75,Douglas County,KS
5471,2015,64762.66667,Douglas County,KS
5472,2010,1682.833333,Edwards County,KS
5473,2011,1664,Edwards County,KS
5474,2012,1642,Edwards County,KS
5475,2013,1606.916667,Edwards County,KS
5476,2014,1604.416667,Edwards County,KS
5477,2015,1748.833333,Edwards County,KS
5478,2010,827,Greeley County,KS
5479,2011,842.3333333,Greeley County,KS
5480,2012,883.4166667,Greeley County,KS
5481,2013,908.4166667,Greeley County,KS
5482,2014,896.3333333,Greeley County,KS
5483,2015,934.8333333,Greeley County,KS
5484,2010,2445.083333,Haskell County,KS
