,Year,county,state,count
765,2010,LAPORTE,IN,8739
766,2010,LASALLE,IL,3402
767,2010,LATAH,ID,1523
768,2010,LAUDERDALE,AL,4801
769,2010,LAUDERDALE,MS,6450
770,2010,LAVACA,TX,308
771,2010,LAWRENCE,AL,292
772,2010,LAWRENCE,AR,561
773,2010,LAWRENCE,IL,287
774,2010,LAWRENCE,IN,1619
775,2010,LAWRENCE,MO,2466
776,2010,LAWRENCE,MS,0
777,2010,LE SUEUR,MN,405
778,2010,LEAKE,MS,226
779,2010,LEE,AL,7107
780,2010,LEE,AR,542
781,2010,LEE,IA,2352
782,2010,LEE,IL,1246
783,2010,LEE,MS,5372
784,2010,LEE,NC,2736
785,2010,LEE,TX,716
786,2010,LEE,VA,615
787,2010,LEELANAU,MI,207
788,2010,LEFLORE,MS,3204
789,2010,LEMHI,ID,119
790,2010,LENAWEE,MI,3835
791,2010,LENOIR,NC,4176
792,2010,LEON,TX,392
793,2010,LEWIS,ID,83
794,2010,LEWIS,MO,273
795,2010,LEWIS AND CLARK,MT,3128
796,2010,LIBERTY,MT,0
797,2010,LIBERTY,TX,4391
798,2010,LIMESTONE,AL,2816
799,2010,LIMESTONE,TX,1933
800,2010,LINCOLN,AR,198
801,2010,LINCOLN,ID,20
802,2010,LINCOLN,ME,1269
803,2010,LINCOLN,MN,12
804,2010,LINCOLN,MO,1677
805,2010,LINCOLN,MS,1193
806,2010,LINCOLN,MT,761
807,2010,LINCOLN,NC,4356
808,2010,LINN,IA,13302
809,2010,LINN,MO,425
810,2010,LIPSCOMB,TX,32
811,2010,LITTLE RIVER,AR,496
812,2010,LIVE OAK,TX,206
813,2010,LIVINGSTON,IL,1459
814,2010,LIVINGSTON,MI,5145
815,2010,LIVINGSTON,MO,624
